color_b,color_g,color_r,pos_x,pos_y,time
0.0,0.0,255.0,0.06996268656716417,0.87468671679198,0.0
0.0,0.0,255.0,0.011194029850746268,0.7443609022556391,0.0007375134172847645
0.0,0.0,255.0,0.008395522388059701,0.7443609022556391,0.0016871491185657648
0.0,0.0,255.0,0.0065298507462686565,0.7443609022556391,0.002468621299522615
0.0,0.0,255.0,0.0046641791044776115,0.7468671679197995,0.0033790275637139997
0.0,0.0,255.0,0.002798507462686567,0.7493734335839599,0.004196569032661579
0.0,0.0,255.0,0.0018656716417910447,0.7543859649122807,0.00510743297361901
0.0,0.0,255.0,0.0009328358208955224,0.7593984962406015,0.00598702233556333
0.0,0.0,255.0,0.0,0.7644110275689223,0.006837712678851635
0.0,0.0,255.0,0.0,0.7744360902255639,0.007695551497342936
0.0,0.0,255.0,0.0009328358208955224,0.7894736842105263,0.00858568921903802
0.0,0.0,255.0,0.0018656716417910447,0.8095238095238095,0.009414236724502407
0.0,0.0,255.0,0.0037313432835820895,0.8245614035087719,0.010375336139066263
0.0,0.0,255.0,0.0065298507462686565,0.8421052631578947,0.011151991816913776
0.0,0.0,255.0,0.010261194029850746,0.8596491228070176,0.01210031987029179
0.0,0.0,255.0,0.013992537313432836,0.8771929824561403,0.012893669853034107
0.0,0.0,255.0,0.017723880597014924,0.8922305764411027,0.013840842817431148
0.0,0.0,255.0,0.021455223880597014,0.9072681704260651,0.01465873299248619
0.0,0.0,255.0,0.025186567164179104,0.9223057644110275,0.015575263407689898
0.0,0.0,255.0,0.029850746268656716,0.9373433583959899,0.016394483024779645
0.0,0.0,255.0,0.03451492537313433,0.949874686716792,0.01735022108294125
0.0,0.0,255.0,0.03917910447761194,0.9624060150375939,0.01813533288389475
0.0,0.0,255.0,0.043843283582089554,0.9724310776942355,0.019059839951306678
0.0,0.0,255.0,0.04757462686567164,0.9799498746867168,0.020002065647804084
0.0,0.0,255.0,0.05223880597014925,0.9849624060150376,0.02075795151812582
0.0,0.0,255.0,0.055970149253731345,0.9899749373433584,0.02170113615641875
0.0,0.0,255.0,0.058768656716417914,0.9949874686716792,0.02260254144421124
0.0,0.0,255.0,0.0625,0.9974937343358395,0.023437954101166312
0.0,0.0,255.0,0.06529850746268656,1.0,0.02426048642627696
0.0,0.0,255.0,0.06902985074626866,1.0,0.02517246186795193
0.0,0.0,255.0,0.07276119402985075,1.0,0.026096009993568335
0.0,0.0,255.0,0.07649253731343283,1.0,0.026902719779052835
0.0,0.0,255.0,0.08022388059701492,1.0,0.027745106558157172
0.0,0.0,255.0,0.08395522388059702,0.9974937343358395,0.028641194077810846
0.0,0.0,255.0,0.08768656716417911,0.9949874686716792,0.029467060905074113
